Content-Container&body,suitcase
Message-Topic&drama,smoke
Product-Producer&engineers,computers
Other&environment,None
Instrument-Agency&player,mouse
Instrument-Agency&painters,None
Cause-Effect&nosebleeds,None
Other&building,None
Message-Topic&story,orphanage
Entity-Origin&genie,None
Cause-Effect&inflammation,None
Other&conscience,confederation
Cause-Effect&None,None
Member-Collection&swarm,None
Other&surgeon,generation
Instrument-Agency&government,None
Message-Topic&letter,None
Instrument-Agency&steam,None
Message-Topic&None,None
Message-Topic&past,None
Message-Topic&magazine,None
Message-Topic&chapter,overview
Other&noises,dogs
Component-Whole&process,None
Content-Container&bottle,scarecrow
Other&legal,None
Other&convocation,None
Cause-Effect&finals,None
Entity-Origin&pilgrims,tables
Product-Producer&pirate,None
Entity-Destination&wine,None
Product-Producer&company,None
Cause-Effect&pollution,None
Cause-Effect&None,None
Product-Producer&leader,comments
Cause-Effect&darkness,None
Other&man,ear
Message-Topic&scene,None
Entity-Destination&absinthe,glasses
Instrument-Agency&playwright,names
Message-Topic&opinions,None
Product-Producer&mason,None
Message-Topic&section,authors
Other&ratpack,countries
Component-Whole&playlist,portfolio
Member-Collection&fish,convicts
Member-Collection&armada,ships
Message-Topic&sheet,environment
Other&necklace,safe
Product-Producer&term,None
Component-Whole&animal,None
Instrument-Agency&suggestions,factory
Message-Topic&None,None
Cause-Effect&None,None
Entity-Destination&virus,None
Component-Whole&crate,farm
Cause-Effect&signal,None
Instrument-Agency&deadline,industry
Instrument-Agency&minority,None
Other&team,None
Other&None,None
Component-Whole&system,site
Cause-Effect&landslides,earthquakes
Entity-Destination&coffee,glass
Other&None,None
Component-Whole&None,None
Message-Topic&document,water
Entity-Destination&tank,None
Cause-Effect&irritation,None
Other&None,None
Component-Whole&box,pins
Other&component,None
Cause-Effect&dust,deprivation
Content-Container&suitcase,None
Message-Topic&book,None
Other&chief,box
Product-Producer&farmer,plant
Cause-Effect&schemes,None
Component-Whole&pen,pocket
Component-Whole&truck,beams
Component-Whole&throttle,truck
Cause-Effect&effort,research
Message-Topic&article,marks
Member-Collection&outfit,pair
Component-Whole&matter,None
Cause-Effect&transmitter,signal
Entity-Destination&statement,group
Content-Container&photograph,pictures
Other&system,None
Entity-Destination&luggage,vehicle
Message-Topic&films,None
Product-Producer&products,firm
Product-Producer&composer,None
Product-Producer&parameters,None
Message-Topic&letter,next
Cause-Effect&people,destruction
Product-Producer&aircraft,None
Instrument-Agency&player,None
Product-Producer&veteran,book
Cause-Effect&cases,media
Component-Whole&plan,None
Component-Whole&None,None
Message-Topic&meeting,welcome
