min_sum_weight: 511
0 1 1
0 15 1
0 25 1
0 34 1
0 101 1
0 163 1
0 210 1
0 250 1
0 280 1
0 289 1
0 450 1
0 485 1
1 172 1
1 204 1
1 226 1
1 288 1
1 362 1
2 17 1
2 102 1
2 126 1
2 148 1
2 203 1
2 267 1
2 331 1
2 347 1
2 458 1
2 467 1
2 468 1
3 89 1
3 258 1
3 437 1
3 445 1
5 89 1
5 189 1
5 502 1
6 306 1
6 368 1
6 466 1
7 28 1
7 67 1
7 81 1
7 114 1
7 120 1
7 133 1
7 185 1
7 220 1
7 240 1
7 251 1
7 283 1
7 302 1
7 431 1
7 432 1
7 438 1
7 505 1
9 32 1
9 55 1
9 76 1
9 505 1
10 1 1
10 5 1
10 31 1
10 36 1
10 63 1
10 65 1
10 75 1
10 114 1
10 143 1
10 205 1
10 310 1
10 316 1
10 359 1
10 363 1
10 389 1
10 397 1
10 481 1
11 152 1
11 309 1
11 467 1
13 19 1
13 85 1
13 150 1
13 209 1
13 404 1
13 479 1
14 83 1
14 176 1
14 317 1
14 349 1
14 371 1
14 376 1
14 378 1
15 111 1
15 159 1
15 160 1
15 198 1
15 203 1
15 224 1
15 229 1
15 290 1
15 293 1
15 365 1
15 444 1
16 191 1
16 380 1
16 414 1
17 230 1
18 345 1
18 454 1
19 58 1
19 189 1
19 407 1
19 441 1
20 144 1
20 156 1
20 158 1
20 171 1
20 243 1
20 341 1
20 467 1
21 6 1
21 45 1
21 51 1
21 92 1
21 244 1
21 360 1
21 363 1
21 377 1
21 426 1
21 480 1
22 35 1
22 72 1
22 184 1
22 475 1
23 455 1
24 1 1
24 233 1
24 281 1
24 344 1
24 355 1
24 436 1
24 460 1
25 33 1
25 118 1
25 242 1
25 361 1
25 455 1
26 123 1
26 213 1
26 301 1
27 194 1
27 215 1
28 73 1
28 115 1
28 317 1
29 408 1
30 53 1
30 84 1
30 163 1
30 164 1
30 197 1
30 208 1
30 335 1
30 364 1
30 439 1
31 108 1
31 109 1
31 165 1
31 379 1
31 435 1
31 449 1
31 491 1
31 493 1
32 90 1
32 175 1
32 263 1
33 97 1
33 268 1
33 462 1
34 327 1
34 484 1
35 39 1
35 78 1
35 106 1
35 151 1
35 205 1
35 219 1
35 357 1
35 372 1
35 488 1
36 238 1
36 392 1
36 402 1
36 447 1
37 76 1
37 128 1
37 254 1
38 60 1
38 150 1
38 227 1
38 269 1
38 434 1
38 472 1
39 510 1
40 63 1
40 117 1
40 119 1
40 276 1
40 287 1
40 388 1
40 406 1
40 483 1
40 486 1
41 256 1
42 76 1
42 278 1
42 325 1
42 352 1
42 370 1
43 17 1
43 421 1
44 29 1
44 81 1
44 496 1
45 353 1
45 384 1
45 385 1
45 501 1
46 76 1
46 110 1
46 213 1
46 294 1
46 492 1
47 4 1
47 173 1
47 203 1
47 297 1
47 326 1
49 47 1
49 206 1
49 275 1
50 33 1
50 249 1
50 456 1
51 142 1
51 369 1
51 403 1
53 69 1
53 105 1
53 135 1
53 154 1
53 155 1
53 181 1
53 192 1
53 334 1
53 411 1
53 506 1
54 0 1
54 91 1
54 130 1
54 199 1
54 218 1
54 241 1
54 366 1
54 470 1
55 64 1
55 423 1
55 469 1
56 21 1
56 70 1
56 161 1
56 202 1
56 350 1
56 508 1
57 42 1
57 223 1
57 433 1
57 464 1
58 236 1
59 462 1
60 96 1
61 150 1
61 207 1
61 382 1
62 215 1
62 426 1
63 509 1
65 18 1
65 77 1
66 23 1
66 193 1
66 390 1
66 443 1
66 477 1
66 487 1
69 52 1
69 145 1
70 131 1
70 307 1
70 387 1
71 27 1
71 264 1
73 16 1
73 248 1
73 279 1
74 139 1
74 154 1
74 247 1
74 256 1
74 292 1
75 265 1
75 333 1
76 188 1
77 86 1
77 149 1
